origin,translation
"450 libbre savon, 3 miri  oglio","450 pounds of soap, 3 measures of oil."
"8 lire de piccoli sapone,8 lire de piccoli  zuccaro","8 lire of small soap, 8 lire of small sugar"
10 libbre formaggio,10 pounds of cheese
80 libbre savon,80 pounds of soap
18 lire de piccoli regalia,18 lire of small regalia
giurò non pagar affitto,swore not to pay rent
36 libbre zuchero,36 pounds of sugar
12 libbre zucaro,12 pounds of sugar
1 cestella frutti,1 basket of fruits
"2 pera caponi, 8 lire  regalia","2 pear trees, 8 royal pounds"
15 libbre zuccaro,15 pounds of sugar
"3 [pezzi] candelotto con arma d'argento, 20 libbre  zuchari, 20 libbre  magioli","3 [pieces] candlestick with silver weapon, 20 pounds of sugar, 20 pounds of apple"
12 libbre sapone,12 pounds of soap
"2 risme carta, 8  quinterni","2 reams of paper, 8 booklets"
10 libbre cera lavorata,10 pounds of worked wax
4 libbre zuccaro,4 pounds of sugar
1 miro oglio,1 look oil
per amor di Dio,for God's sake
2 pera caponi,2 pear capons
19 libbre zuccaro,19 pounds of sugar
2 felli,2 fathoms
20 libbre sappone,20 pounds of soap
3 ducati regalia,3 royal ducats
8 libbre caffè,8 pounds of coffee
4 [libbre] cera,4 [pounds] of wax
"20 libbre zuccaro, 20 libbre  cera","20 pounds of sugar, 20 pounds of wax"
4 panni da zuccaro,4 sugar cloths
4 libbre cera,4 pounds of wax
12 pani zuccaro,12 loaves of sugar
per gracia,for grace
"100 libbre risi, 2 para  pernise","100 pounds of rice, 2 pairs of partridges"
due pera pernici,two partridge pears
63 mezzo miro olio,63 half miro oil
4 pani da libbre 1 zuccaro,4 loaves of 1 pound sugar
6 libbre zuccari,6 pounds of sugar
10 libbre candelle di sevo,10 pounds of tallow candles
35 ducati regalia,35 ducats royalty
16 lire zuchero,16 lire sugar
1 felippo,1 felippo
6 libbre zuchari,6 pounds of sugar
10 libbre cerra,10 pounds of wax
2 secchi moscato,2 barrels of muscat
6 libbre zucchero,6 pounds of sugar
2 libbre cera,2 pounds of wax
"6 libbre zuccari, 18 libbre  cera","6 pounds of sugar, 18 pounds of wax"
30 libre sappone bianco,30 pounds white soap
60 libbre sapon,60 pounds of soap
16 lire regalia anua,16 annual royal lire
12 libbre buttiro,12 pounds of butter
12 lire in contanti,12 lire in cash
4 pani zuccaro,4 loaves of sugar
"20 libbre cera, 20 libbre  zuccaro, 2 pera  pernici","20 pounds wax, 20 pounds sugar, 2 pear partridges"
6 lire cera lavorata,6 lire of worked wax
12 lire regalia,12 royal lire
10 libbre sapon,10 pounds of soap
"1 onza e meza da 15 lire argento, 12 lire 8 soldi  spitiare ridote a soldi","1 ounce and a half of 15 silver lire, 12 lire 8 soldi converted to coins"
8 libre zucchero,8 pounds of sugar
[i 12 ducati di affitto] sono obligati in tante messe per ciascun anno,[the 12 ducats of rent] are obliged in so many masses for each year
senza pagar l'affitto,without paying the rent
olio miro e mezzo,mirrored oil and half
20 libbre zuccaro,20 pounds of sugar
"23 balle savon, 4 pani  zucharo, 1 pera  quanti de castor, 1 pera  pernise","23 soap balls, 4 loaves of sugar, 1 pair of beaver many, 1 pair of partridge"
10 ducati regalia,10 ducat royalty
24 angurie,24 watermelons
6 lire zuccheri,6 pounds of sugar
per l'affitto gli corre l'obligo di cucinar il pane,for the rent he is obliged to bake the bread
4 libbre cera lavorata,4 pounds of processed wax
27 panni da zucchero,27 sugar loaves
4 libbre zuccari,4 pounds of sugar
3 para pernise,3 ducks for Pernise
"12 pani zucaro, 8 numero da meza libra  magioli","12 loaves of sugar, 8 numbers of half pound beans"
10 stera caffé,10 bushels of coffee
4 libbre zucchero,4 pounds of sugar
1 ducato regalie,1 ducal royalty
14 lire regalia,14 royal pounds
Per carità,for charity
mezo miro oglio,half a bushel of oil
"soleva pagar 16 ducati, ora non paga affitto","used to pay 16 ducats, now does not pay rent"
8 libbre sapone,8 pounds of soap
100 libbre risi,100 pounds of rice
14 libbre formaglio,14 pounds of cheese
12 maggioli,12 acres
1 cesta frutti,1 basket of fruit
gratis sua vita durante,for the duration of his life for free
"6 para pernise, 50 libbre  maroni","6 pairs of ducks, 50 pounds of chestnuts"
9 libre farina,9 pounds of flour
6 libbre zucaro,6 pounds of sugar
6 libbre all'anno cera,6 pounds per year of wax
6 panni zuccaro,6 cloths of sugar
5 libbre savon bianco,5 pounds of white soap
16 libbre zuccaro,16 pounds of sugar
4 pani da lire una zuccaro,"4 loaves for a lira each, sugar"
10 libre regalia,10 royal books
6 lire cera,6 pounds of wax
22 ducati regalia,22 ducats royalty
18 libbre zuccaro,18 pounds of sugar
2 pera pernici,2 partridge pears
12 zucchero,12 sugar
"100 libbre pommi, 100 libbre  marroni","100 pounds of apples, 100 pounds of chestnuts"
25 ducati messe,25 ducats per month
6 libre zucchero,6 pounds of sugar
6 ducati regalia,6 ducats royal
non paga affitto,does not pay rent
14 lire regalie,14 royal pounds
30 libbre cera lavorata,30 pounds of processed wax
24 balle saon,24 salt barrels
2 pera pernise,"2 pear trees pernise
"
8 libbre lin,8 linen pounds
20 lire in contanti regalia,20 lire in cash royalty
10 libbre candelle di seo,10 pounds of seo candles
2 lire ace,2 ace lire
6 libbre di sapone,6 pounds of soap
"200 libbre per anni due sapon, poi 100 lire  sapon","200 pounds for two years of soap, then 100 pounds for soap"
6 pani da lire una e meza zuccaro,6 loaves to read one and a half sugar
18 pani zuccaro,18 loaves of sugar
per amor d'iddio,for the love of god
25 figoli fini,25 fine fig trees
24 libbre cera,24 pounds of wax
6 libbre cera lavorata,6 pounds of worked wax
12 panni zuchero,12 cloths of sugar
2 ducati regalia,2 ducats royal
4 pani da libre due zuccaro,4 loaves of two pound sugar
6 panni da libbre 2 zuccaro,6 cloths of 2 pounds sugar
30 libbre saon,30 pounds of salt
9 lire zuccaro,9 pounds of sugar
miro oglio,I look at the oil
25 libbre candelle di sevo,25 pounds of tallow candles
49 lire de piccoli regalie,49 lire of small gifts
5 ducati regalia,5 royal ducats
6 libbre zuchero,6 pounds of sugar
30 libbre risi,30 pounds of rice
8 libbre cera lavorata,8 pounds of worked wax
8 panni zuccaro,8 cloths of sugar
3 panni da zucchero,3 sugar loaves
8 lengue salate,8 salted tongues
"100 libbre risi, 1 paro  pernise","100 pounds of rice, 1 pair of partridges"
30 pani da una lira e meza zucchero,30 loaves for one and a half lira sugar
22 lire regalie,22 royal lire
frutti,fruits
12 libbre candelle,12 pounds of candles
